WKT	name	description
"POLYGON ((103.7051261 1.4017742, 103.7051704 1.40173, 103.705208 1.401683, 103.7052428 1.4016281, 103.7052603 1.4015396, 103.7052576 1.4014565, 103.705216 1.4013854, 103.7045817 1.4004858, 103.7047238 1.4003812, 103.7047922 1.4004871, 103.7051329 1.4002471, 103.705668 1.401014, 103.7057243 1.4010931, 103.7057726 1.4011347, 103.7058316 1.4011615, 103.7059174 1.4011695, 103.7059966 1.4011588, 103.7051261 1.4017742))"	orange	NT6
"POLYGON ((103.705712 1.4016362, 103.7062203 1.4012822, 103.7061787 1.4013748, 103.7061667 1.4014512, 103.7061653 1.4015356, 103.7061989 1.4016067, 103.7063169 1.4017662, 103.7063933 1.4018655, 103.7064993 1.401958, 103.7065476 1.4019982, 103.7076982 1.4028026, 103.7076043 1.4029407, 103.7066227 1.4022529, 103.7063786 1.4020961, 103.7062686 1.4019901, 103.7061144 1.4018024, 103.7060178 1.4016778, 103.7059226 1.4016201, 103.7058515 1.4015973, 103.7057711 1.401608, 103.705712 1.4016362))"	orange	NT8 Taxi Back
"POLYGON ((103.7066882 1.4006666, 103.7067405 1.4006022, 103.706762 1.4005553, 103.70677 1.4004882, 103.706762 1.4004225, 103.7067459 1.4003515, 103.706023 1.3993044, 103.7061826 1.3992012, 103.706251 1.3993044, 103.7065944 1.3990631, 103.707218 1.4000029, 103.7072528 1.4000404, 103.7073011 1.400078, 103.7073561 1.4000927, 103.7074218 1.4000927, 103.707446 1.4000713, 103.7074486 1.4001075, 103.7070792 1.4004004, 103.7068904 1.4005362, 103.7066882 1.4006666))"	orange	NT7
"POLYGON ((103.7031693 1.3758123, 103.7032037 1.3757953, 103.703235 1.3757506, 103.7032377 1.3757104, 103.7027858 1.3744743, 103.7033497 1.3742603, 103.703701 1.3752953, 103.7037681 1.3753784, 103.7038123 1.375491, 103.7038499 1.3755326, 103.7039451 1.3755581, 103.7035176 1.3756746, 103.7031693 1.3758123))"	orange	ST1
"POLYGON ((103.701577 1.3772848, 103.700987 1.3778717, 103.7010111 1.3778235, 103.7010151 1.3777739, 103.7010004 1.3777202, 103.7000656 1.3767335, 103.7001729 1.3766142, 103.7002695 1.3767093, 103.7005833 1.3764425, 103.7014497 1.3772926, 103.7015127 1.3773046, 103.701577 1.3772848))"	orange	ST3
"POLYGON ((103.699705 1.3805833, 103.6996177 1.3802186, 103.6995908 1.3801674, 103.6995923 1.3800724, 103.6996029 1.3799274, 103.6997089 1.3796515, 103.6997089 1.379693, 103.6997183 1.3797507, 103.6997693 1.3797869, 103.6998135 1.379811, 103.7009226 1.3797587, 103.7009334 1.3801837, 103.7010702 1.380181, 103.7010782 1.3803513, 103.6998578 1.3803929, 103.6998095 1.3804116, 103.6997586 1.3804572, 103.6997264 1.3805055, 103.699705 1.3805833))"	orange	ST5
"POLYGON ((103.7020338 1.3821649, 103.7020767 1.3821206, 103.7020968 1.3820764, 103.7021129 1.3820161, 103.7021022 1.3819705, 103.7018246 1.3812572, 103.7023556 1.3810306, 103.7026627 1.381764, 103.702699 1.3817989, 103.7027781 1.3818217, 103.7028505 1.3818176, 103.7020338 1.3821649))"	orange	ST6
"POLYGON ((103.703459 1.381557, 103.70351 1.3815155, 103.7035395 1.381482, 103.7035663 1.381427, 103.703577 1.3813774, 103.7035783 1.3813533, 103.7032216 1.3805033, 103.7037661 1.3802807, 103.7041094 1.3811253, 103.7041376 1.3811562, 103.7041684 1.3811857, 103.7042046 1.3811977, 103.7042677 1.3812071, 103.703459 1.381557))"	orange	ST7
"POLYGON ((103.7052429 1.380466, 103.7052496 1.380415, 103.705247 1.380356, 103.7052322 1.3803078, 103.7051866 1.3802568, 103.7043109 1.3793424, 103.7047213 1.3789241, 103.7055487 1.3797822, 103.7056144 1.3798036, 103.7056909 1.3798171, 103.7057405 1.3798171, 103.7057928 1.3797996, 103.7058022 1.3798653, 103.7055708 1.380099, 103.705548 1.3801714, 103.7055064 1.3802036, 103.70543 1.3802223, 103.7052429 1.380466))"	orange	ST8
"POLYGON ((103.7058712 1.3797553, 103.7059007 1.3797808, 103.7059691 1.3795917, 103.7059973 1.3795019, 103.7060362 1.3793129, 103.706059 1.3792794, 103.7061676 1.3805625, 103.706122 1.3804726, 103.7060952 1.3804216, 103.7060362 1.3803787, 103.7059865 1.3803559, 103.7059127 1.380345, 103.7058712 1.3797553))"	orange	W8
